initial_ang_1,initial_ang_2,initial_ang_3,initial_ang_4,initial_ang_5,target_pos_x,target_pos_y,target_pos_z,final_ang_1,final_ang_2,final_ang_3,final_ang_4,final_ang_5,algorithm
0,0,0,0,0,308.815,131.826,0.778682,0.403313,0.533219,3.97458,2.9048,0.230806,PSO_Adam
0,0,0,0,0,-158.408,222.124,579.481,2.19033,0.768218,0.251821,1.85229,0.684023,SGO_Adam
0,0,0,0,0,-189.058,-454.536,289.003,4.31817,6.14968,0.381504,1.96026,2.34821,NN_Adam
0,0,0,0,0,-395.246,225.219,343.556,2.62355,0.379438,0.720144,0.557635,0.534823,NN_Adam
0,0,0,0,0,-170.389,-261.827,419.671,0.993633,2.02653,1.32704,0.518242,1.04831,GA_Adam
0,0,0,0,0,-371.177,74.9057,154.135,2.94203,0.490847,4.24149,3.44442,4.00119,NN_Adam
0,0,0,0,0,388.386,81.582,295.056,3.34846,2.30946,0.240392,2.35602,4.72625,SGO_Adam
0,0,0,0,0,215.833,170.575,131.445,0.668566,1.47088,3.33057,2.88899,1.80483,NN_Adam
0,0,0,0,0,-74.9148,-320.626,264.356,1.34113,1.65421,1.48769,1.74121,4.46658,PSO_Adam
0,0,0,0,0,-208.897,-171.829,331.884,0.688264,1.53539,2.1483,0.552502,1.92546,PSO_Adam
0,0,0,0,0,57.1606,113.024,179.556,1.1025,1.1772,5.93138,5.19082,5.42025,NN_Adam
0,0,0,0,0,364.283,-43.6416,174.179,6.16384,0.113231,1.44234,5.68492,2.90092,NN_Adam
0,0,0,0,0,-96.4799,412.383,327.661,1.80023,0.476827,0.821068,0.177415,2.10632,NN_Adam
0,0,0,0,0,281.403,78.6054,1.29379,0.272363,0.637616,3.68579,2.98346,0.230806,NN_Adam
0,0,0,0,0,-100.611,148.57,89.9033,2.16587,0.406358,2.27936,4.21073,3.34738,NN_Adam
0,0,0,0,0,-461.308,132.816,149.266,2.86115,0.36782,5.07473,2.62916,4.00119,NN_Adam
0,0,0,0,0,82.2631,91.3625,319.022,0.837741,1.5569,2.28593,4.51004,2.19504,SGO_Adam
0,0,0,0,0,-0.878621,-268.679,244.938,1.56752,1.31352,1.71688,1.99473,4.46658,NN_Adam
0,0,0,0,0,363.628,248.852,220.431,0.60007,0.310767,0.770121,0.0472176,1.17984,GA_Adam
0,0,0,0,0,355.996,-39.4179,244.862,6.17256,0.237286,1.5686,5.72094,2.90092,NN_Adam
0,0,0,0,0,127.471,-198.61,535.175,2.14116,1.61451,0.681615,1.76167,1.21357,GA_Adam
0,0,0,0,0,191.596,273.061,40.0466,0.958798,0.934513,3.88148,2.57361,1.80483,NN_Adam
0,0,0,0,0,110.583,-268.189,4.62971,5.10337,1.21657,4.07404,1.63022,3.52788,SGO_Adam
0,0,0,0,0,443.269,219.252,110.827,0.459182,0.510564,5.70573,1.14455,3.83827,DE_Adam
0,0,0,0,0,67.5927,-182.659,561.33,1.9251,1.51993,0.65453,1.78713,1.21357,NN_Adam
0,0,0,0,0,-29.3413,-121.809,39.2927,4.47569,3.35555,1.60765,3.15037,3.81945,NN_Adam
0,0,0,0,0,-76.7579,9.43525,499.084,6.1607,3.09088,4.41166,1.93063,2.9301,SGO_Adam
0,0,0,0,0,197.67,-314.439,45.4026,5.27354,0.844522,4.14036,2.45515,5.15345,PSO_Adam
0,0,0,0,0,-231.856,-188.936,256.271,0.683604,1.66868,2.1702,0.679766,1.92546,NN_Adam
0,0,0,0,0,-494.047,69.2563,304.121,3.00206,0.0933483,0.637504,1.08327,2.24488,NN_Adam
0,0,0,0,0,-410.402,-93.597,150.091,0.224082,2.52274,0.522792,2.14279,6.27118,NN_Adam
0,0,0,0,0,-16.5843,487.746,326.884,1.6051,0.025758,0.296038,1.90785,3.73939,NN_Adam
0,0,0,0,0,-22.1857,46.5414,213.53,2.01557,1.08919,5.64086,4.9013,5.42025,NN_Adam
0,0,0,0,0,-421.638,-122.961,325.197,0.283705,2.64269,0.113199,1.70923,1.4382,PSO_Adam
0,0,0,0,0,-259.552,443.733,88.6475,2.09999,0.214561,5.48685,2.07299,0.217938,GA_Adam
0,0,0,0,0,-129.307,166.753,234.668,2.2303,4.43877,2.13905,2.41651,6.10103,NN_Adam
0,0,0,0,0,90.1261,129.769,594.047,0.963709,0.730395,1.09682,1.1112,5.46292,NN_Adam
0,0,0,0,0,347.486,-50.4401,452.241,2.99715,2.50788,0.339595,0.934512,2.55046,NN_Adam
0,0,0,0,0,-65.8281,268.789,170.489,1.81061,4.79761,1.35917,2.80729,1.8278,NN_Adam
0,0,0,0,0,231.339,396.443,314.146,1.04233,0.133609,1.00801,0.538708,1.0531,SGO_Adam
0,0,0,0,0,28.7615,-34.3337,452.474,2.26811,0.291024,1.73783,1.98435,1.00602,PSO_Adam
0,0,0,0,0,-275.848,75.6377,218.649,2.87386,1.90267,3.51773,2.56091,3.7879,PSO_Adam
0,0,0,0,0,-92.4045,16.3341,386.568,6.10826,0.547352,1.35466,2.66589,0.947702,DE_Adam
0,0,0,0,0,-166.277,337.146,357.988,2.02891,0.569899,1.03715,6.21169,2.10632,NN_Adam
0,0,0,0,0,19.8113,-160.911,49.594,4.83482,3.51787,1.73355,2.95683,3.81945,NN_Adam
0,0,0,0,0,258.604,-266.124,340.856,2.34157,1.97098,0.807213,1.91934,2.59462,PSO_Adam
0,0,0,0,0,9.19859,-130.082,594.077,1.64118,1.40021,0.596667,1.80769,1.21357,NN_Adam
0,0,0,0,0,172.648,421.809,184.34,1.18218,0.122752,0.873968,0.121756,0.857645,DE_Adam
0,0,0,0,0,-479.224,-1.96891,44.1704,3.14551,6.12565,5.48584,2.67209,5.17034,GA_Adam
0,0,0,0,0,238.852,0.52293,217.858,3.14371,3.04969,1.56216,5.31076,1.13796,NN_Adam
0,0,0,0,0,-237.719,9.32575,22.4856,3.10215,0.316914,3.22999,3.72486,2.78924,SGO_Adam
0,0,0,0,0,-76.2849,521.175,30.4564,1.71607,5.99382,0.0472571,1.62824,3.06819,SGO_Adam
0,0,0,0,0,-286.581,186.441,345.227,2.56466,5.71312,1.15467,2.24886,1.47872,SGO_Adam
0,0,0,0,0,4.58779,-228.167,230.333,1.59073,1.08526,1.84625,2.16658,4.46658,NN_Adam
0,0,0,0,0,157.836,298.282,549.474,1.08369,0.786527,0.112606,1.70645,0.406968,SGO_Adam
0,0,0,0,0,-244.497,168.399,149.409,2.53832,1.72604,4.5863,0.750385,3.06686,SGO_Adam
0,0,0,0,0,-1.72764,-304.923,279.895,1.56505,1.49848,1.54695,1.82655,4.46658,NN_Adam
0,0,0,0,0,-169.721,127.004,618.419,2.49872,1.08534,0.0562317,1.7656,1.10359,SGO_Adam
0,0,0,0,0,-189.815,-292.559,92.1172,0.994827,2.33648,1.89966,0.69182,1.74789,NN_Adam
0,0,0,0,0,249.138,151.867,551.819,0.547113,0.711494,0.829359,0.917869,1.39325,NN_Adam
0,0,0,0,0,90.1353,-18.7943,405.968,2.936,0.340097,1.82619,2.09092,1.00602,NN_Adam
0,0,0,0,0,-145.843,456.794,284.071,1.87966,5.97986,0.713932,1.79683,3.73939,NN_Adam
0,0,0,0,0,-158.869,-290.371,377.882,1.06994,2.05017,1.44836,0.511415,1.04831,NN_Adam
0,0,0,0,0,-157.598,-455.497,39.7203,4.37904,6.24306,0.343037,0.559812,4.56408,SGO_Adam
0,0,0,0,0,462.452,-130.586,95.8911,6.00757,0.460251,5.00397,2.29086,5.42746,NN_Adam
0,0,0,0,0,35.1442,297.752,232.932,1.45317,0.827738,0.616498,5.56809,6.10266,NN_Adam
0,0,0,0,0,-312.15,346.113,147.922,2.30447,6.21777,0.973946,0.207452,6.1074,NN_Adam
0,0,0,0,0,-347.153,262.618,310.519,2.49374,0.432704,0.790525,0.216192,0.534823,NN_Adam
0,0,0,0,0,287.329,11.7609,234.149,3.18247,2.83609,1.59522,5.66462,1.13796,NN_Adam
0,0,0,0,0,242.631,205.151,500.934,0.701758,0.605146,1.08291,0.532599,1.39325,NN_Adam
0,0,0,0,0,-393.773,-156.831,429.351,3.52056,0.202478,0.376364,1.94488,5.7412,SGO_Adam
0,0,0,0,0,240.441,-146.19,200.126,5.73683,1.58895,5.22763,0.135827,2.12145,TLBO_Adam
0,0,0,0,0,-160.759,-287.823,458.72,1.06101,2.08677,0.888108,0.947055,1.04831,NN_Adam
